Datetime, Temperature;
13/7/2016 23:15;25,688
13/7/2016 23:30;25,801
13/7/2016 23:45;25,787
14/7/2016 00:00;25,730
14/7/2016 00:15;25,675
14/7/2016 00:30;25,607
14/7/2016 00:45;25,218
14/7/2016 01:00;24,878
14/7/2016 01:15;24,739
14/7/2016 01:30;24,695
14/7/2016 01:45;24,599
14/7/2016 02:00;24,601
14/7/2016 02:15;24,516
14/7/2016 02:30;24,712
14/7/2016 02:45;24,991
14/7/2016 03:00;25,393
14/7/2016 03:15;25,001
14/7/2016 03:30;24,904
14/7/2016 03:45;24,916
14/7/2016 04:00;24,988
14/7/2016 04:15;24,794
14/7/2016 04:30;24,599
14/7/2016 04:45;24,372
14/7/2016 05:00;24,451
14/7/2016 05:15;24,171
14/7/2016 05:30;23,791
14/7/2016 05:45;24,006
14/7/2016 06:00;23,993
14/7/2016 06:15;24,108
14/7/2016 06:30;24,380
14/7/2016 06:45;24,403
14/7/2016 07:00;24,399
14/7/2016 07:15;25,209
14/7/2016 07:30;26,069
14/7/2016 07:45;26,123
14/7/2016 08:00;26,328
14/7/2016 08:15;26,544
14/7/2016 08:30;27,326
14/7/2016 08:45;28,064
14/7/2016 09:00;28,500
14/7/2016 09:15;29,195
14/7/2016 09:30;29,946
14/7/2016 09:45;30,686
14/7/2016 10:00;31,128
14/7/2016 10:15;31,205
14/7/2016 10:30;30,760
14/7/2016 10:45;30,760
14/7/2016 11:00;30,351
14/7/2016 11:15;29,875
14/7/2016 11:30;29,567
14/7/2016 11:45;30,018
14/7/2016 12:00;30,525
14/7/2016 12:15;30,845
14/7/2016 12:30;30,901
14/7/2016 12:45;31,330
14/7/2016 13:00;31,100
14/7/2016 13:15;30,906
14/7/2016 13:30;30,883
14/7/2016 13:45;30,909
14/7/2016 14:00;31,200
14/7/2016 14:15;32,333
14/7/2016 14:30;33,014
14/7/2016 14:45;33,323
14/7/2016 15:00;33,712
14/7/2016 15:15;33,491
14/7/2016 15:30;33,544
14/7/2016 15:45;33,946
14/7/2016 16:00;35,323
14/7/2016 16:15;35,280
14/7/2016 16:30;33,832
14/7/2016 16:45;33,554
14/7/2016 17:00;32,953
14/7/2016 17:15;32,598
14/7/2016 17:30;32,806
14/7/2016 17:45;34,486
14/7/2016 18:00;34,115
14/7/2016 18:15;32,971
14/7/2016 18:30;32,374
14/7/2016 18:45;32,681
14/7/2016 19:00;31,589
14/7/2016 19:15;30,717
14/7/2016 19:30;30,004
14/7/2016 19:45;29,406
14/7/2016 20:00;28,891
14/7/2016 20:15;28,447
14/7/2016 20:30;27,916
14/7/2016 20:45;27,306
14/7/2016 21:00;26,775
14/7/2016 21:15;26,227
14/7/2016 21:30;25,663
14/7/2016 21:45;25,396
14/7/2016 22:00;25,150
14/7/2016 22:15;24,928
14/7/2016 22:30;24,758
14/7/2016 22:45;24,618
14/7/2016 23:00;24,522
14/7/2016 23:15;24,409
14/7/2016 23:30;24,406
14/7/2016 23:45;24,290
15/7/2016 00:00;24,130
15/7/2016 00:15;24,044
15/7/2016 00:30;24,057
15/7/2016 00:45;23,944
15/7/2016 01:00;23,867
15/7/2016 01:15;23,971
15/7/2016 01:30;23,907
15/7/2016 01:45;23,826
15/7/2016 02:00;23,653
15/7/2016 02:15;23,484
15/7/2016 02:30;23,407
